carrier,from_zone,to_zone,max_kg,fare
A運輸,北海道,北海道,30,1400
A運輸,北海道,北海道,50,1820
A運輸,北海道,北海道,100,2660
A運輸,北海道,北海道,150,3360
A運輸,北海道,北海道,200,3920
A運輸,北海道,北海道,300,5040
A運輸,北海道,北海道,500,7000
A運輸,北海道,北海道,1000,11200
A運輸,北海道,北海道,1500,14700
A運輸,北海道,北海道,2000,17500
A運輸,北海道,東北,30,2100
A運輸,北海道,東北,50,2730
A運輸,北海道,東北,100,3990
A運輸,北海道,東北,150,5040
A運輸,北海道,東北,200,5880
A運輸,北海道,東北,300,7560
A運輸,北海道,東北,500,10500
A運輸,北海道,東北,1000,16800
A運輸,北海道,東北,1500,22050
A運輸,北海道,東北,2000,26250
A運輸,北海道,関東,30,2800
A運輸,北海道,関東,50,3640
A運輸,北海道,関東,100,5320
A運輸,北海道,関東,150,6720
A運輸,北海道,関東,200,7840
A運輸,北海道,関東,300,10080
A運輸,北海道,関東,500,14000
A運輸,北海道,関東,1000,22400
A運輸,北海道,関東,1500,29400
A運輸,北海道,関東,2000,35000
A運輸,北海道,中部,30,3500
A運輸,北海道,中部,50,4550
A運輸,北海道,中部,100,6650
A運輸,北海道,中部,150,8400
A運輸,北海道,中部,200,9800
A運輸,北海道,中部,300,12600
A運輸,北海道,中部,500,17500
A運輸,北海道,中部,1000,28000
A運輸,北海道,中部,1500,36750
A運輸,北海道,中部,2000,43750
A運輸,北海道,関西,30,4200
A運輸,北海道,関西,50,5460
A運輸,北海道,関西,100,7980
A運輸,北海道,関西,150,10080
A運輸,北海道,関西,200,11760
A運輸,北海道,関西,300,15120
A運輸,北海道,関西,500,21000
A運輸,北海道,関西,1000,33600
A運輸,北海道,関西,1500,44100
A運輸,北海道,関西,2000,52500
A運輸,北海道,中四国,30,4900
A運輸,北海道,中四国,50,6370
A運輸,北海道,中四国,100,9310
A運輸,北海道,中四国,150,11760
A運輸,北海道,中四国,200,13720
A運輸,北海道,中四国,300,17640
A運輸,北海道,中四国,500,24500
A運輸,北海道,中四国,1000,39200
A運輸,北海道,中四国,1500,51450
A運輸,北海道,中四国,2000,61250
A運輸,北海道,九州,30,5600
A運輸,北海道,九州,50,7280
A運輸,北海道,九州,100,10640
A運輸,北海道,九州,150,13440
A運輸,北海道,九州,200,15680
A運輸,北海道,九州,300,20160
A運輸,北海道,九州,500,28000
A運輸,北海道,九州,1000,44800
A運輸,北海道,九州,1500,58800
A運輸,北海道,九州,2000,70000
A運輸,東北,北海道,30,2100
A運輸,東北,北海道,50,2730
A運輸,東北,北海道,100,3990
A運輸,東北,北海道,150,5040
A運輸,東北,北海道,200,5880
A運輸,東北,北海道,300,7560
A運輸,東北,北海道,500,10500
A運輸,東北,北海道,1000,16800
A運輸,東北,北海道,1500,22050
A運輸,東北,北海道,2000,26250
A運輸,東北,東北,30,1400
A運輸,東北,東北,50,1820
A運輸,東北,東北,100,2660
A運輸,東北,東北,150,3360
A運輸,東北,東北,200,3920
A運輸,東北,東北,300,5040
A運輸,東北,東北,500,7000
A運輸,東北,東北,1000,11200
A運輸,東北,東北,1500,14700
A運輸,東北,東北,2000,17500
A運輸,東北,関東,30,2100
A運輸,東北,関東,50,2730
A運輸,東北,関東,100,3990
A運輸,東北,関東,150,5040
A運輸,東北,関東,200,5880
A運輸,東北,関東,300,7560
A運輸,東北,関東,500,10500
A運輸,東北,関東,1000,16800
A運輸,東北,関東,1500,22050
A運輸,東北,関東,2000,26250
A運輸,東北,中部,30,2800
A運輸,東北,中部,50,3640
A運輸,東北,中部,100,5320
A運輸,東北,中部,150,6720
A運輸,東北,中部,200,7840
A運輸,東北,中部,300,10080
A運輸,東北,中部,500,14000
A運輸,東北,中部,1000,22400
A運輸,東北,中部,1500,29400
A運輸,東北,中部,2000,35000
A運輸,東北,関西,30,3500
A運輸,東北,関西,50,4550
A運輸,東北,関西,100,6650
A運輸,東北,関西,150,8400
A運輸,東北,関西,200,9800
A運輸,東北,関西,300,12600
A運輸,東北,関西,500,17500
A運輸,東北,関西,1000,28000
A運輸,東北,関西,1500,36750
A運輸,東北,関西,2000,43750
A運輸,東北,中四国,30,4200
A運輸,東北,中四国,50,5460
A運輸,東北,中四国,100,7980
A運輸,東北,中四国,150,10080
A運輸,東北,中四国,200,11760
A運輸,東北,中四国,300,15120
A運輸,東北,中四国,500,21000
A運輸,東北,中四国,1000,33600
A運輸,東北,中四国,1500,44100
A運輸,東北,中四国,2000,52500
A運輸,東北,九州,30,4900
A運輸,東北,九州,50,6370
A運輸,東北,九州,100,9310
A運輸,東北,九州,150,11760
A運輸,東北,九州,200,13720
A運輸,東北,九州,300,17640
A運輸,東北,九州,500,24500
A運輸,東北,九州,1000,39200
A運輸,東北,九州,1500,51450
A運輸,東北,九州,2000,61250
A運輸,関東,北海道,30,2800
A運輸,関東,北海道,50,3640
A運輸,関東,北海道,100,5320
A運輸,関東,北海道,150,6720
A運輸,関東,北海道,200,7840
A運輸,関東,北海道,300,10080
A運輸,関東,北海道,500,14000
A運輸,関東,北海道,1000,22400
A運輸,関東,北海道,1500,29400
A運輸,関東,北海道,2000,35000
A運輸,関東,東北,30,2100
A運輸,関東,東北,50,2730
A運輸,関東,東北,100,3990
A運輸,関東,東北,150,5040
A運輸,関東,東北,200,5880
A運輸,関東,東北,300,7560
A運輸,関東,東北,500,10500
A運輸,関東,東北,1000,16800
A運輸,関東,東北,1500,22050
A運輸,関東,東北,2000,26250
A運輸,関東,関東,30,1400
A運輸,関東,関東,50,1820
A運輸,関東,関東,100,2660
A運輸,関東,関東,150,3360
A運輸,関東,関東,200,3920
A運輸,関東,関東,300,5040
A運輸,関東,関東,500,7000
A運輸,関東,関東,1000,11200
A運輸,関東,関東,1500,14700
A運輸,関東,関東,2000,17500
A運輸,関東,中部,30,2100
A運輸,関東,中部,50,2730
A運輸,関東,中部,100,3990
A運輸,関東,中部,150,5040
A運輸,関東,中部,200,5880
A運輸,関東,中部,300,7560
A運輸,関東,中部,500,10500
A運輸,関東,中部,1000,16800
A運輸,関東,中部,1500,22050
A運輸,関東,中部,2000,26250
A運輸,関東,関西,30,2800
A運輸,関東,関西,50,3640
A運輸,関東,関西,100,5320
A運輸,関東,関西,150,6720
A運輸,関東,関西,200,7840
A運輸,関東,関西,300,10080
A運輸,関東,関西,500,14000
A運輸,関東,関西,1000,22400
A運輸,関東,関西,1500,29400
A運輸,関東,関西,2000,35000
A運輸,関東,中四国,30,3500
A運輸,関東,中四国,50,4550
A運輸,関東,中四国,100,6650
A運輸,関東,中四国,150,8400
A運輸,関東,中四国,200,9800
A運輸,関東,中四国,300,12600
A運輸,関東,中四国,500,17500
A運輸,関東,中四国,1000,28000
A運輸,関東,中四国,1500,36750
A運輸,関東,中四国,2000,43750
A運輸,関東,九州,30,4200
A運輸,関東,九州,50,5460
A運輸,関東,九州,100,7980
A運輸,関東,九州,150,10080
A運輸,関東,九州,200,11760
A運輸,関東,九州,300,15120
A運輸,関東,九州,500,21000
A運輸,関東,九州,1000,33600
A運輸,関東,九州,1500,44100
A運輸,関東,九州,2000,52500
A運輸,中部,北海道,30,3500
A運輸,中部,北海道,50,4550
A運輸,中部,北海道,100,6650
A運輸,中部,北海道,150,8400
A運輸,中部,北海道,200,9800
A運輸,中部,北海道,300,12600
A運輸,中部,北海道,500,17500
A運輸,中部,北海道,1000,28000
A運輸,中部,北海道,1500,36750
A運輸,中部,北海道,2000,43750
A運輸,中部,東北,30,2800
A運輸,中部,東北,50,3640
A運輸,中部,東北,100,5320
A運輸,中部,東北,150,6720
A運輸,中部,東北,200,7840
A運輸,中部,東北,300,10080
A運輸,中部,東北,500,14000
A運輸,中部,東北,1000,22400
A運輸,中部,東北,1500,29400
A運輸,中部,東北,2000,35000
A運輸,中部,関東,30,2100
A運輸,中部,関東,50,2730
A運輸,中部,関東,100,3990
A運輸,中部,関東,150,5040
A運輸,中部,関東,200,5880
A運輸,中部,関東,300,7560
A運輸,中部,関東,500,10500
A運輸,中部,関東,1000,16800
A運輸,中部,関東,1500,22050
A運輸,中部,関東,2000,26250
A運輸,中部,中部,30,1400
A運輸,中部,中部,50,1820
A運輸,中部,中部,100,2660
A運輸,中部,中部,150,3360
A運輸,中部,中部,200,3920
A運輸,中部,中部,300,5040
A運輸,中部,中部,500,7000
A運輸,中部,中部,1000,11200
A運輸,中部,中部,1500,14700
A運輸,中部,中部,2000,17500
A運輸,中部,関西,30,2100
A運輸,中部,関西,50,2730
A運輸,中部,関西,100,3990
A運輸,中部,関西,150,5040
A運輸,中部,関西,200,5880
A運輸,中部,関西,300,7560
A運輸,中部,関西,500,10500
A運輸,中部,関西,1000,16800
A運輸,中部,関西,1500,22050
A運輸,中部,関西,2000,26250
A運輸,中部,中四国,30,2800
A運輸,中部,中四国,50,3640
A運輸,中部,中四国,100,5320
A運輸,中部,中四国,150,6720
A運輸,中部,中四国,200,7840
