carrier,prefecture,zone
A運輸,北海道,北海道
A運輸,青森,東北
A運輸,岩手,東北
A運輸,宮城,東北
A運輸,秋田,東北
A運輸,山形,東北
A運輸,福島,東北
A運輸,茨城,関東
A運輸,栃木,関東
A運輸,群馬,関東
A運輸,埼玉,関東
A運輸,千葉,関東
A運輸,東京,関東
A運輸,神奈川,関東
A運輸,新潟,中部
A運輸,富山,中部
A運輸,石川,中部
A運輸,福井,中部
A運輸,山梨,中部
A運輸,長野,中部
A運輸,岐阜,中部
A運輸,静岡,中部
A運輸,愛知,中部
A運輸,三重,中部
A運輸,滋賀,関西
A運輸,京都,関西
A運輸,大阪,関西
A運輸,兵庫,関西
A運輸,奈良,関西
A運輸,和歌山,関西
A運輸,鳥取,中四国
A運輸,島根,中四国
A運輸,岡山,中四国
A運輸,広島,中四国
A運輸,山口,中四国
A運輸,徳島,中四国
A運輸,香川,中四国
A運輸,愛媛,中四国
A運輸,高知,中四国
A運輸,福岡,九州
A運輸,佐賀,九州
A運輸,長崎,九州
A運輸,熊本,九州
A運輸,大分,九州
A運輸,宮崎,九州
A運輸,鹿児島,九州
B急便,北海道,北海道
B急便,青森,東北
B急便,岩手,東北
B急便,宮城,東北
B急便,秋田,東北
B急便,山形,東北
B急便,福島,東北
B急便,茨城,北関東
B急便,栃木,北関東
B急便,群馬,北関東
B急便,埼玉,南関東
B急便,千葉,南関東
B急便,東京,南関東
B急便,神奈川,南関東
B急便,新潟,中部
B急便,富山,中部
B急便,石川,中部
B急便,福井,中部
B急便,山梨,中部
B急便,長野,中部
B急便,岐阜,中部
B急便,静岡,中部
B急便,愛知,中部
B急便,三重,中部
B急便,滋賀,関西
B急便,京都,関西
B急便,大阪,関西
B急便,兵庫,関西
B急便,奈良,関西
B急便,和歌山,関西
B急便,鳥取,中四国
B急便,島根,中四国
B急便,岡山,中四国
B急便,広島,中四国
B急便,山口,中四国
B急便,徳島,中四国
B急便,香川,中四国
B急便,愛媛,中四国
B急便,高知,中四国
B急便,福岡,九州
B急便,佐賀,九州
B急便,長崎,九州
B急便,熊本,九州
B急便,大分,九州
B急便,宮崎,九州
B急便,鹿児島,九州
C物流,北海道,東日本
C物流,青森,東日本
C物流,岩手,東日本
C物流,宮城,東日本
C物流,秋田,東日本
C物流,山形,東日本
C物流,福島,東日本
C物流,茨城,関東
C物流,栃木,関東
C物流,群馬,関東
C物流,埼玉,関東
C物流,千葉,関東
C物流,東京,関東
C物流,神奈川,関東
C物流,新潟,中部
C物流,富山,中部
C物流,石川,中部
C物流,福井,中部
C物流,山梨,中部
C物流,長野,中部
C物流,岐阜,中部
C物流,静岡,中部
C物流,愛知,中部
C物流,三重,中部
C物流,滋賀,西日本
C物流,京都,西日本
C物流,大阪,西日本
C物流,兵庫,西日本
C物流,奈良,西日本
C物流,和歌山,西日本
C物流,鳥取,西日本
C物流,島根,西日本
C物流,岡山,西日本
C物流,広島,西日本
C物流,山口,西日本
C物流,徳島,西日本
C物流,香川,西日本
C物流,愛媛,西日本
C物流,高知,西日本
C物流,福岡,九州
C物流,佐賀,九州
C物流,長崎,九州
C物流,熊本,九州
C物流,大分,九州
C物流,宮崎,九州
C物流,鹿児島,九州
