日付,氏名,所属,場所,時間帯,作業内容,関連タスクID,備考
2026-09-14,支援者A,[営業],新富士DPL,9時〜16時,業務フロー研修,S-13,
2026-09-14,支援者B,[営業],新富士DPL,9時〜16時,業務フロー研修,S-13,
2026-09-15,支援者A,[営業],新富士DPL,9時〜16時,業務フロー研修,S-13,
2026-09-15,支援者B,[営業],新富士DPL,9時〜16時,業務フロー研修,S-13,
2026-09-15,中営開担当,[中営開],新富士DPL,13時〜16時,研修支援・マニュアル確認,S-13,入場車両1台
2026-09-16,支援者A,[営業],新富士DPL,9時〜16時,業務フロー読み合わせ,S-13,
2026-09-17,支援者B,[営業],新富士DPL,9時〜16時,作業マニュアル作成支援,S-13,
2026-09-18,支援者A,[営業],新富士DPL,9時〜12時,作業マニュアル作成支援,S-13,AM健康診断のためPM不在
2026-09-24,支援者A,[営業],既存拠点(浜松),9時〜16時,現場視察同行,S-13,
2026-09-25,支援者B,[営業],既存拠点(浜松),9時〜16時,現場視察同行,S-13,
2026-10-28,支援者B,[営業],新富士DPL,9時〜16時,研修フォロー,S-13,※整合チェックのデモ(S-13期間外)
