移管元,荷姿,頻度,日付,計画,実績
CEVA,正梱,高,2026-11-16,40,40
CEVA,正梱,高,2026-11-17,40,38
CEVA,正梱,高,2026-11-18,40,35
CEVA,正梱,高,2026-11-19,40,
CEVA,正梱,高,2026-11-20,40,
CEVA,正梱,高,2026-11-24,45,
CEVA,正梱,高,2026-11-25,45,
CEVA,正梱,高,2026-11-26,45,
CEVA,正梱,高,2026-11-27,25,
CEVA,端数,低,2026-11-16,60,60
CEVA,端数,低,2026-11-17,60,55
CEVA,端数,低,2026-11-18,60,50
CEVA,端数,低,2026-11-19,60,
CEVA,端数,低,2026-11-20,60,
CEVA,端数,低,2026-11-24,55,
CEVA,端数,低,2026-11-25,55,
CEVA,端数,低,2026-11-26,50,
CEVA,端数,低,2026-11-27,46,
松井梱包,正梱,高,2026-11-16,35,35
松井梱包,正梱,高,2026-11-17,35,30
松井梱包,正梱,高,2026-11-18,35,30
松井梱包,正梱,高,2026-11-19,35,
松井梱包,正梱,高,2026-11-20,35,
松井梱包,正梱,高,2026-11-24,35,
松井梱包,正梱,高,2026-11-25,35,
松井梱包,正梱,高,2026-11-26,35,
松井梱包,正梱,高,2026-11-27,28,
松井梱包,端数,中,2026-11-16,25,25
松井梱包,端数,中,2026-11-17,25,20
松井梱包,端数,中,2026-11-18,25,20
松井梱包,端数,中,2026-11-19,25,
松井梱包,端数,中,2026-11-20,25,
松井梱包,端数,中,2026-11-24,25,
松井梱包,端数,中,2026-11-25,25,
松井梱包,端数,中,2026-11-26,24,
